task_id,rmse,dataset,model,accuracy,rmse_rank,accuracy_rank
1.0,0.3040420119001584,parkinson,MTB,,2.0,
2.0,0.45366008382999023,parkinson,MTB,,3.0,
3.0,0.3513037993859796,parkinson,MTB,,3.0,
4.0,0.2995632162953579,parkinson,MTB,,3.0,
5.0,0.15968003976631523,parkinson,MTB,,2.0,
6.0,0.1582411260782234,parkinson,MTB,,1.0,
7.0,0.29340792506232827,parkinson,MTB,,3.0,
8.0,0.17890267622284545,parkinson,MTB,,2.0,
9.0,0.3985364328101841,parkinson,MTB,,3.0,
10.0,0.07832906643971203,parkinson,MTB,,2.0,
11.0,0.8661363882527794,parkinson,MTB,,3.0,
12.0,0.3893918635582669,parkinson,MTB,,2.0,
13.0,0.4275928390396176,parkinson,MTB,,2.0,
14.0,0.32713674223999456,parkinson,MTB,,3.0,
15.0,0.3639313183651433,parkinson,MTB,,3.0,
16.0,0.18051174800388245,parkinson,MTB,,2.0,
17.0,1.5646196462684419,parkinson,MTB,,1.0,
18.0,0.08280723815180754,parkinson,MTB,,3.0,
19.0,0.29146145188393974,parkinson,MTB,,3.0,
20.0,0.19654747388539298,parkinson,MTB,,3.0,
21.0,0.8497332725449179,parkinson,MTB,,1.0,
22.0,0.6695398796308176,parkinson,MTB,,3.0,
23.0,0.35797622262637535,parkinson,MTB,,1.0,
24.0,0.24950323482063302,parkinson,MTB,,3.0,
25.0,0.20508850966724118,parkinson,MTB,,1.0,
26.0,0.7800755284300609,parkinson,MTB,,3.0,
27.0,0.3702355207785994,parkinson,MTB,,3.0,
28.0,0.7700901615762887,parkinson,MTB,,3.0,
29.0,0.594127441023323,parkinson,MTB,,1.0,
30.0,0.3268765021650309,parkinson,MTB,,3.0,
31.0,1.207103709122919,parkinson,MTB,,3.0,
32.0,0.7902499019399328,parkinson,MTB,,1.0,
33.0,0.053551511306710604,parkinson,MTB,,1.0,
34.0,0.5815254198010051,parkinson,MTB,,3.0,
35.0,0.44188285920527154,parkinson,MTB,,3.0,
36.0,0.0880699303890425,parkinson,MTB,,1.0,
37.0,0.25591451880785243,parkinson,MTB,,3.0,
38.0,0.3448242706406003,parkinson,MTB,,1.0,
39.0,0.2370932421203859,parkinson,MTB,,1.0,
40.0,0.27932089369051843,parkinson,MTB,,2.0,
41.0,0.4033127907306851,parkinson,MTB,,2.0,
42.0,0.7075770657817909,parkinson,MTB,,1.0,
0.0,,landmine,MTB,0.9411764705882353,,2.0
1.0,,landmine,MTB,0.9236641221374046,,2.0
2.0,,landmine,MTB,0.9407407407407408,,2.0
3.0,,landmine,MTB,0.9629629629629629,,2.0
4.0,,landmine,MTB,0.9636363636363636,,2.0
5.0,,landmine,MTB,0.9724770642201835,,2.0
6.0,,landmine,MTB,0.941747572815534,,2.0
